Semana,Hora Rutura,Hora da rutura,Seção,Tipo de requisição,OT,REQ,Tipo Produto,Nº Produto,Descrição,Qtd. Req.,Qtd. Env.,Qtd. Falta,Un. Med,Data, Stock CT, Stock FF,Em trânsito da FF,Tipologia Rutura,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL - 8H,OT25018604,463077,Secos,ACGE0002,Geleia morango p.v.30gr,28,28,0,UN,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25018906,463278,Refrigerados,BQVA0100,QUEIJO AZUL HALAL,"0,065",0,"0,065",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,TSU - EK,NORMAL,OT25018905,463304,Congelados,PICA0050,CARROT KHEER 1006041,5,1,4,UN,4/1/2025,3,0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019017,463381,Secos,ADPR0011,PREP GELATINA MORANGO LIGHT,"0,154",0,"0,154",#N/A,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,OBR,NORMAL,OT25018917,463307,"F&V, Pão & Iogurtes",CVES0013,Espinafre baby lavado,2,0,2,KG,4/1/2025,"1,6",0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL-8H,OT25019102,463453,Refrigerados,BQVN0002,VIOLIFE MOZZARELLA BARRA,"1,807",0,"1,807",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019354,463614,"F&V, Pão & Iogurtes",CVES0013,Espinafre baby lavado,"1,539",0,"1,539",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019373,463633,"F&V, Pão & Iogurtes",CVBA003,Batata cubos crua 10x10,"12,909",10,"2,909",#N/A,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019455,463633,"F&V, Pão & Iogurtes",PPPA0048,Pao ciabattine rustico schargf,40,0,40,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-A pedir à FF,COZINHA FRIA,NORMAL,OT25019320,463603,Secos,ELMA2001,MANGUITOS AZUIS (100 UN),11,0,11,EMB,4/2/2025,0,360,0,A pedir à FF,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,COZINHA FRIA - EK,NORMAL,OT25019319,463597,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"2,052",0,"2,052",KG,4/2/2025,"13,421",0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019319,463597,Refrigerados,BQMI0003,Qjo feta Halal,"0,42",0,"0,42",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019319,463597,"F&V, Pão & Iogurtes",CVFU0001,Funcho bolbo lavado,"0,313",0,"0,313",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,EXTRA,OT25019214,REQ EXTRA,"F&V, Pão & Iogurtes",CVFU0001,Funcho bolbo lavado,6,"5,63","0,37",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-A pedir à FF,COZINHA QUENTE ,NORMAL,OT25019205,463508,Secos,ELMA2001,MANGUITOS AZUIS (100 UN),10,5,5,EMB,4/2/2025,0,360,0,A pedir à FF,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25019225,463527,Secos,CECO0005,Coentros moidos,"0,019",0,"0,019",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25019225,463527,Secos,CEPI0014,Pimenta branca c/moinho,"0,003",0,"0,003",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25019209,463512,Secos,PPAL0001,Pao alentejano,7,0,7,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25019223,463525,Refrigerados,BQVA0032,Qjo vaca mimolete,"5,335",0,"5,335",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25019280,463559,Refrigerados,BQVA0100,QUEIJO AZUL HALAL,"0,065",0,"0,065",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25019280,463559,Refrigerados,BQVA0100,QUEIJO AZUL HALAL,"0,065",0,"0,065",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25019385,463645,Secos,CFMA0030,STICKS MAÇÃ LIMÃO,80,0,80,#N/A,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25019386,463646,Secos,PCBO0050,"BOLACHA CROCANTE SESAMO, ABO.LINH. PACK1",10,,10,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - AC,NORMAL,OT25019349,463605,Refrigerados,PMRE0002,Refeicao crianca fruta (un),4,0,4,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL,OT25019251,463547,Secos,PICA0050,CARROT KHEER 1006041,10,0,10,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL-8H,OT25018949,463327,Congelados,PICA0050,CARROT KHEER 1006041,5,0,5,UN,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019310,463587,Secos,ADPR0003,PREP GELATINA MANGA/LARA LIGHT 277013,"0,17",0,"0,17",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,OBR,NORMAL,OT25019269,463554,"F&V, Pão & Iogurtes",CVES0013,Espinafre baby lavado,"2,4",0,"2,4",KG,4/2/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,EXTRA,OT25019595,463767,Refrigerados,BQMI0031,QJO MISTURA E PIMENTÃO,"5,89",0,"5,89",#N/A,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,EXTRA,OT25019772,463910,Congelados,DBVA0002,Vaca vazia,"6,1",0,"6,1",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019595,463767,"F&V, Pão & Iogurtes",CFLA0002,Laranja p/sumo,"0,1",0,"0,1",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019595,463767,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"0,08",0,"0,08",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019735,463881,Refrigerados,BQMI0031,QJO MISTURA E PIMENTÃO,"7,03",0,"7,03",#N/A,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,COZINHA FRIA,NORMAL,OT25019736,463882,Refrigerados,BQVN0004,VIOLIFE CHEDDAR FATIADO 200GR,"3,83","0,5","3,33",#N/A,4/3/2025,"16,18",0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019711,463860,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"2,03",0,"2,03",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019711,463860,"F&V, Pão & Iogurtes",CVFU0001,Funcho bolbo lavado,"0,35",0,"0,35",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019711,463860,Secos,CVPE0008,PEPINOS CONSERVA,"0,05",0,"0,05",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,COZINHA QUENTE ,NORMAL,OT25019561,463741,Secos,CVFE0016,Feijão cozido com tomate,"0,29",0,"0,29",KG,4/3/2025,"2,21",0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25019562,463742,Congelados,PIDL0279,"CALZONE,ROASTED VEGETABLES CHEESE 125GRS",70,24,46,#N/A,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25019695,463854,Refrigerados,BQVA0100,QUEIJO AZUL HALAL,"0,07",0,"0,07",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25019698,463857,"F&V, Pão & Iogurtes",CVCE0004,Cebolinhas descascadas,"0,03",0,"0,03",KG,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,TSU.,NORMAL,OT25019675,463834,Refrigerados,BQCA0032,QJO CABRA ARTESANAL 60GRS,12,10,2,UN,4/3/2025,107,0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25019673,463832,Secos,PCBO0050,"BOLACHA CROCANTE SESAMO, ABO.LINH. PACK1",16,0,16,UN,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL-8H,OT25019268,463553,Congelados,PICA0050,CARROT KHEER 1006041,3,0,3,UN,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL,OT25019605,463775,Congelados,PICA0050,CARROT KHEER 1006041,6,0,6,UN,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019038,463402,Secos,MRBE0002,BEBIDA BIO AMENDOA 1L,16,6,10,UN,4/3/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019939,464005,"F&V, Pão & Iogurtes",CEMA0001,Malaguetas vermelhas,"0,05",0,"0,05",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,EXTRA,OT25020042,REQ EXTRA,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,2,0,2,KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019938,464004,"F&V, Pão & Iogurtes",CVFU0001,Funcho bolbo lavado,"0,33",0,"0,33",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019937,464003,Refrigerados,BQCA0004,Qjo Chevre Halal,"0,42",0,"0,42",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019937,464003,Refrigerados,BQVA0020,Qjo creme Halal,"1,17",0,"1,17",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019939,464005,Secos,PPFO0015,Forma Integral 11x11 fatiado,"1,6",0,"1,6",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019939,464005,Secos,CVLE0003,Lentilhas vermelhas,"0,08",0,"0,08",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020026,464091,"F&V, Pão & Iogurtes",CFAM0002,Ameixa preta lavada,"34,047",0,"34,05",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25019984,464049,Congelados,BQCA0032,QJO CABRA ARTESANAL 60GRS,20,0,20,UN,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25019982,464047,Secos,PCBO0050,"BOLACHA CROCANTE SESAMO, ABO.LINH. PACK1",12,0,12,UN,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,NORMAL-8H,OT25019600,463771,Congelados,PICA0050,CARROT KHEER 1006041,6,0,6,UN,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019959,464024,Secos,ADPR0011,PREP GELATINA MORANGO LIGHT,"0,17",0,"0,17",#N/A,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019978,464043,Secos,ADPR0019,PREP GELATINA MANGA LIGHT,"0,15","0,03","0,12",#N/A,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25019980,464045,Congelados,PISA0051,SALTED CARAMEL SAUCE 1006032,"0,35",0,"0,35",KG,4/4/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL 8H,OT25020041,464106,"F&V, Pão & Iogurtes",CFMO0002,morangos s/ rama higienizados,"3,469","2,15","1,319",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019776,463914,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"2,028",0,"2,028",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019776,463914,"F&V, Pão & Iogurtes",CFMO0002,morangos s/ rama higienizados,"3,936",0,"3,936",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25019776,463914,"F&V, Pão & Iogurtes",CVFU0001,Funcho bolbo lavado,"0,325",0,"0,325",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25020327,464302,"F&V, Pão & Iogurtes",CFLA0001,Laranja lavada,"10,321",0,"10,321",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA - EK,NORMAL,OT25020206,464192,Secos,ACME0006,MELAÇO DE ROMÃ,"0,077",0,"0,077",L,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA KOREIA,NORMAL,OT25020226,464210,"F&V, Pão & Iogurtes",CFLA0001,Laranja lavada,"0,295",0,0,KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA KOREIA,NORMAL,OT25020226,464210,"F&V, Pão & Iogurtes",CFUV0001,Uva preta lavada,"0,676",0,0,KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA KOREIA,NORMAL,OT25020227,464211,"F&V, Pão & Iogurtes",CFUV0001,Uva preta lavada,"0,091",0,"0,091",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25020228,464212,"F&V, Pão & Iogurtes",CFUV0001,Uva preta lavada,"0,128",0,"0,128",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - KOREIA,NORMAL,OT25020215,464200,Secos,PPBA0029,Baguete vianesa 60 grs,3,0,3,UN,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25020184,464170,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"0,284",0,"0,284",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE ,NORMAL,OT25020179,464165,Secos,CVLE0003,Lentilhas vermelhas,"0,89",0,"0,89",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE EK,NORMAL,OT25020210,464195,Secos,CVLE0003,Lentilhas vermelhas,"0,175",0,"0,175",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE EK,NORMAL,OT25020211,464196,Refrigerados,BQCA0004,Qjo Chevre Halal,"0,13",0,"0,13",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - DELTA,NORMAL,OT25020304,464284,Secos,NGSN0021,SNACK CHOCOLATE MILKBAR BRANCO,1,0,1,#N/A,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,TSU - DELTA,NORMAL,OT25020373,464345,Congelados,PIDL0127,DL THREE CHEESE TORTELLI,170,52,118,UN,4/5/2025,247,0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25020233,464217,Secos,ADPR0011,PREP GELATINA MORANGO LIGHT,"0,009",0,"0,009",#N/A,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,PASTELARIA,NORMAL,OT25020253,464237,Congelados,PISA0051,SALTED CARAMEL SAUCE 1006032,"0,331",0,"0,331",KG,4/5/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL - 8H,OT25020231,464215,"F&V, Pão & Iogurtes",CFLA0001,Laranja lavada,"17,001",0,"17,001",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL - 8H,OT25020360,464332,"F&V, Pão & Iogurtes",CFLI0008,LIMÃO PRÉ CORTADO,20,0,20,KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL - 8H,OT25019595,463767,"F&V, Pão & Iogurtes",CFMO0002,morangos s/ rama higienizados,"2,976",0,"2,976",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL - 8H,OT25019775,463913,"F&V, Pão & Iogurtes",CFUV0001,Uva preta lavada,"4,999",0,"4,999",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL - 8H,OT25020359,464331,Refrigerados,BQVN0003,VIOLIFE CHEDDAR BARRA,"0,084",0,"0,084",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020577,464509,Secos,CVPE0008,PEPINOS CONSERVA,"0,05",0,"0,05",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020593,464525,Refrigerados,BQVN0002,VIOLIFE MOZZARELLA BARRA,"0,5",0,"0,5",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020593,464525,Refrigerados,BQVN0004,VIOLIFE CHEDDAR FATIADO 200GR,"1,186",0,"1,186",#N/A,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020585,464517,"F&V, Pão & Iogurtes",CFLA0001,Laranja lavada,24,0,24,KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020585,464517,"F&V, Pão & Iogurtes",CFPE0009,Pessego careca lavado,32,"16,74","15,26",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020585,464517,"F&V, Pão & Iogurtes",CFUV0001,Uva preta lavada,10,0,10,KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25020597,464529,"F&V, Pão & Iogurtes",CFLI0002,Lima lavada,"1,68",0,"1,68",KG,4/6/2025,0,0,0,Sem Stock Físico e BC,
